Title,Author,Publish Year,Publisher,Language
The Lord of the Rings,J.R.R. Tolkien,1954,"Houghton Mifflin Harcourt Publishing Company, William Morrow Paperbacks, Metis Yayıncılık, European Schoolbooks, Book Club Associates, BBD Audio Publishing, Zondervan, HarperCollins Publishers, Brand: Mariner Books, Mariner Books, Slovart, Houghton Mifflin Harcourt Trade & Reference Publishers, Hör Verlag, München, Azbuka Klassika, French and European Publications Inc, Planeta Publishing, HarperCollins, George Allen & Unwin Ltd., Brand: Recorded Books, Houghton Mifflin, Kont͡sern ""Olimp"", Soundelux Audio Publishing, Unieboek | Het Spectrum, Allenand Unwin, Highbridge Audio, Klett-Cotta Verlag, Unwin Paperbacks, SP Interprint, ""Terra"", HARPERCOLLINS PUBLISHERS, Booket, POCKET, BBC Audiobooks, Caedmon, Klett-Cotta, MINOTAURO, Book Club Association, George Allen and Unwin, France Loisirs, GALLIMARD JEUNE, Brand: HighBridge Company, Turtleback Books Distributed by Demco Media, Warszawskie Wydawnictwo Literackie Muza, Ballantine Books, Unwin Hyman, Guild Publishing, Harper Collins Publishers  Stock Account, BBC Books, Presse Pocket, Harper Collins, Ballantine, Harpercollins, Hobbit press Klett Cotta, Harpercollins Pub Ltd, Pocket, RUSCONI, Hyoronsha, HMH Books for Young Readers, der Hörverlag, Recorded Books, Rusconi, HarperCollins Canada, Limited, Minotauro Ediciones Avd, Bompiani, Circulo de Lectores, Het Spectrum, Grafton, Methuen, Siat Publishing Company, MUZA, WSOY, Easton Press, Allen & Unwin, Guild, HighBridge Audio, ""Kniga"", Editions France Loisirs, Recorded Books Unabridged, George Allen & Unwin, Soundelux Audio Pub, Allen and Unwin, BTFDREEM, Norstedt, HarperCollins Publishers Ltd, Random House Audio, Minotauro, n/a, Der Hörverlag, Bard, Gallimard, Sushi Books, Houghton Mifflin Co., Houghton Mifflin Company, Editorial Vicens Vives, Highbridge Company, J.G. Cotta'sche, Buchhandlung Nachfolger GmbH, Spectrum, William Morrow, Mladá fronta, HarperCollins Publishers Limited, AST, Brand: Soundelux Audio Pub, Recorded Books, Inc., ""Azbuka"", Christian Bourgois, Listening Library, French & European Pubns, Hyōronsha, Houghton Mifflin Harcourt, Azbuka, Terra-Knizhnyy klub, harpercollins, Fabbri, Folio Society","spa, bul, tur, jpn, rus, ita, swe, pol, dut, por, kor, cat, fre, cze, glg, slo, ger, eng"
Novels (Hobbit / Lord of the Rings),J.R.R. Tolkien,1979,"Highbridge Audio, Mariner Books, HarperCollins Publishers Limited, HarperCollins Publishers Ltd, Unwin Paperbacks, Harper Collins, Del Rey Fantasy, HarperCollins, Houghton Mifflin, Harpercollins, Del Rey, Harper Collins Publ. UK, HarperCollins Publishers, Ballantine Books (Mm), Azbuka-klassika, Harpercollins Pub Ltd, Houghton Mifflin Harcourt, Collins, Del Rey Books","eng, rus"
Lord of the Rings,Cedco Publishing,2001,Cedco Publishing Company,eng
The lord of the rings,Brian Sibley,2001,"Mariner Books, Houghton Mifflin Company, Tandem Library, Houghton Mifflin",eng
The Lord of the rings location guidebook,Ian Brodie,2002,"HarperCollins Publishers Ltd, HarperCollins, HarperCollins (New Zealand), Zondervan",eng
Lord of the Rings,Betsy Gallup,2006,"Lightning Rod, a Division of Windstorm Creative",eng
The Lord of the Rings,Patrick Gardner,2002,SparkNotes,eng
Lord of the Rings Arwen Journal,n/a,2001,Cedco Publishing Company,eng
Lord of the Rings,Carla Fritsch,2004,Center for Learning,eng
"The Art of the ""Lord of the Rings"" Trilogy (""Lord of the Rings"")",Gary Russell,2004,HarperCollins Publishers Ltd,N/A
The lord of the rings,"Wayne G. Hammond, Christina Scull",2005,"Houghton Mifflin, HarperCollins Publishers Ltd., Houghton Mifflin Co., HarperCollins",eng
J. R. R. Tolkien's The Lord of the Rings,"Harold Bloom, Harold Bloom",2000,"Chelsea House, Chelsea House Publications, Chelsea House Publishers",eng
The Lord of the Rings - The Two Towers,"Alessio Cavatore, Rick Priestley",2003,Games Workshop,N/A
Poems from The lord of the rings,J.R.R. Tolkien,1994,"Mladá fronta, HarperCollins Publishers Ltd, HarperCollins",eng
The Lord of the Rings,Wendy Conklin,N/A,N/A,eng
Lord of the Rings Trilogy,"Howard Shore, Dan Coates",2004,"Warner Bros. Publications, Alfred Music",eng
The Lord of the Rings,David Brawn,2002,Collins,eng
The Lord of the Rings,Brian Sibley,2002,"Uitgeverij M, Houghton Mifflin Company","dut, eng"
Lord of the Rings Instrumental Solos,Howard Shore,2004,Warner Bros. Publications,eng
The Lord of the Rings. Appendices,J.R.R. Tolkien,1999,"HarperCollins Publishers Limited, Circulo de Lectores, Minotauro, Ediciones Minotauro, Klett-Cotta, Houghton Mifflin Co, HarperCollins","eng, spa, ger"
The Lord of the Rings,New Line Cinema,2014,Insights,N/A
Lord of the Rings Instrumental,Howard Shore,2004,Warner Bros. Publications,eng
"Gollum (""Lord of the Rings"")",Andy Serkis,2003,Collins,N/A
Finding God in the Lord of the Rings,"Kurt Bruner, Jim Ware",2003,"Tyndale House Publishers, Tyndale Momentum, Brand: Living Books",eng
The Lord of the Rings location guidebook,Ian Brodie,2002,"HarperCollins Publishers (New Zealand), HarperCollins Australia",eng
The Lord of the Rings The Fellowship of the Ring Photo Guide,Alison Sage,2001,"Mariner Books, HarperCollinsChildren'sBooks, Collins, Houghton Mifflin",eng
The Lord Of The Rings' Metaphors,Rolf A. F. Witzsche,2004,Cygni Communications,eng
"The ""Lord of the Rings"" Oracle",Terry Donaldson,2001,Godsfield Press Ltd,N/A
"The ""Lord of the Rings"" Sketchbook",Alan Lee,2005,HarperCollins Publishers Ltd,N/A
The Lord of the Rings Journal,Cedco Publishing,2002,Cedco Publishing Company,eng
"Studying the ""Lord of the Rings""",Anna Dawson,2006,Auteur Publishing,N/A
Lord of the Rings,Ernest Mathijs,2006,"Wallflower Press, WALLFLOWER","und, eng"
Watching the Lord of the rings,"Martin Barker, Ernest Mathijs",2007,"Peter Lang, Peter Lang Pub Inc, Peter Lang Inc., International Academic Publishers, P. Lang",eng
Lord of the Rings Poster Collection,Alan Lee,1999,Tolkien,eng
Tolkien and the Lord of the rings,Colin Duriez,2001,"Azure, HiddenSpring, Diane Pub Co",eng
The QPB companion to The Lord of the rings,Brandon Geist,2001,"QPBC, Quality Paperback Book Club",eng
Understanding The lord of the rings,"Ted Hodges, Donato Giancola",2003,Lucent Books,eng
The Lord of the Rings - War of the Ring,Mark Cohen,2003,BRADY GAMES,eng
"The Lord of the Rings, The Hobbit",Coles Editorial Board,2003,Coles Notes,eng
J.R.R. Tolkien's Hobbit and Lord of the rings,Anne Pienciak,1986,Barron's Educational Series,eng
Lord of the Rings and the Eucharist,Scott L. Smith,2019,Holy Water Books,N/A
Lord of the Rings - Mines of Moria,Games Workshop,2005,Games Workshop,N/A
Lord of the Rings the Film Book,J R R Tolken,N/A,Ballantine Books,N/A
The Lord of the Rings [Japanese Edition],Yoshida Hiroshi,2002,Mikasa Shobo,N/A
The Lord of the Rings Journal (Black),Cedco Publishing,2002,Cedco Publishing Company,eng
The Lord of the Rings Journal (Green),Cedco Publishing,2002,Cedco Publishing Company,eng
Lord of the Rings Poster Collection 2,Alan Lee,2002,HarperSport,eng
"The ""Lord of the Rings - The Fellowship of the Rings""",Prima Development,2002,Prima Games,N/A
The Hobbit / Lord of the Rings / Silmarillion,J.R.R. Tolkien,2004,ACT,rus
Lord of the Rings Oracle Gift Set,Terry Donaldson,2001,Sterling,eng
"Notes on Tolkien's ""Lord of the Rings""",G.M. Ridden,1984,Longman,N/A
Lord of the Rings Friends and Foes,Reiner Knizia,2003,Fantasy Flight Games,eng
Lord of the Rings,Steven A. Schwartz,1995,Prima Publishing,eng
The Lord of the Rings - The Fellowship of the Ring,Scruffy Productions,2002,Prima Games,eng
The Lord of the Rings,"Mark Cohen, Debra McBride, David Cassady",2002,Prima Games,eng
The Lord of the Rings,Bryan Stratton,2004,Prima Games,eng
The Lord of the Rings,Dan Egger,2002,Prima Games,eng
Moria (The Lord of the Rings Roleplaying Game),Decipher RPG,2003,Decipher Inc.,eng
Literary Lessons From the Lord of the Rings,Amelia Harper,2004,Home Scholar Books,N/A
"The ""Lord of the Rings"" Official Stage Companion",Gary Russell,2007,HarperCollins Publishers Ltd,N/A
Finding God in the Lord of the Rings,"Kurt D. Bruner, Jim Ware",2006,Saltriver,eng
The Brothers Hildebrand's Lord of the Rings,Brian Simmons,2002,Running Press Book Publishers,eng
"The Lord of the Rings. Mit Interpretation. Diverse Umschlagfarben, unsortiert",Frank Weinreich,2002,"Langenscheidt Fachv., M.",ger
The Fellowship of the Ring Journal (The Lord of the Rings),Cedco Publishing,2001,Cedco Publishing Company,eng
"LORD OF THE RINGS: THE FILMS, THE BOOKS, THE RADIO SERIES","JIM SMITH, Jim Smith, J. Clive Matthews",2004,"Ebury Publishing, VIRGIN BOOKS, Virgin Books","und, eng"
"The Lord of the rings, 1954-2004","Richard E. Blackwelder, Wayne G. Hammond, Christina Scull",2006,Marquette University Press,eng
Lord of the Rings Instrumental Solos Cello Book,Howard Shore,2004,Warner Bros. Publications,eng
Lord of the Rings Instrumental Solos Viola Book,Howard Shore,2004,Warner Bros. Publications,eng
Lord of the Rings Instrumental Solos Violin Book,Howard Shore,2004,Warner Bros. Publications,eng
The Lord of the Rings Trilogy,Howard Shore,2009,Alfred Music,N/A
Lord of the Rings--War of the Ring - Expansion #1,Suzette Bell,2004,Prima Publishing,N/A
"The Art of the ""Fellowship of the Ring"" (""Lord of the Rings"")",Gary Russell,2002,HarperCollins Publishers Ltd,N/A
The Fellowship of the Ring Visual Companion (The Lord of The Rings),Jude Fisher,2001,HarperCollins Entertainment,N/A
Core Book (The Lord of the Rings Roleplaying Game),Matt Forbeck,2002,"Decipher, Brand: Decipher, Decipher Inc.",eng
The Rough Guide to the Lord of the Rings,ROUGH GUIDES,2003,Rough Guides,eng
"The ""Lord of the Rings"" from Script to Screen",Brian Sibley,2003,HarperCollins Publishers Ltd,N/A
"A Closer Look at ""The Lord of the Rings""",Mark Eddy Smith,2002,Kingsway Publications,N/A
The Lord of the Rings (New Line Platinum Series),Elijah Wood,2002,New Line Cinema Corporation,eng
Hero's Journal (The Lord of the Rings Roleplaying Game),Decipher RPG,2002,"Decipher, Lord of the Rings",eng
Isengard Sourcebook (The Lord of the Rings Roleplaying Game),Decipher RPG,2004,Decipher Inc.,eng
Narrator's Screen (The Lord of the Rings Roleplaying Game),Decipher RPG,2003,Decipher Inc.,eng
"Harry Potter, Narnia, and The Lord of the Rings","Abanes, Richard",2005,Harvest House Publishers,eng
Into the West from the Lord of the Rings,Howard Shore,2013,Hal Leonard,N/A
The Lord of the rings by J.R.R. Tolkien,Hal Hager,2000,Houghton Mifflin,eng
"The Art of the ""Two Towers"" (""Lord of the Rings"")",Gary Russell,2003,HarperCollins Publishers Ltd,N/A
Reading the Lord of the Rings,Robert Eaglestone,2005,"Continuum International Publishing Group, CONTINUUM, Continuum","und, eng"
The Fellowship of the Ring Sourcebook (The Lord of the Rings Roleplaying Game),Decipher RPG,2003,Decipher Inc.,eng
Approaches to Teaching Tolkien's The Lord of the Rings and Other Works,Leslie A. Donovan,2015,Modern Language Association of America,eng
"The ""Lord of the Rings"" Official Movie Guide",Brian Sibley,2001,"Ediciones Minotauro, HarperCollins Entertainment",spa
The Two Towers Sourcebook (The Lord of the Rings Roleplaying Game),Matt Forbeck,2003,Decipher Inc.,eng
"The ""Return of the King"" Weapons and Warfare (""Lord of the Rings"")",John Howe,2003,HarperCollins Publishers Ltd,eng
The Fellowship of the Ring Insiders' Guide (The Lord of the Rings Movie Tie-In),Brian Sibley,2001,Collins,N/A
The Fellowship of the Ring Photo Guide (The Lord of the Rings Movie Tie-In),Alison Sage,2001,"HarperCollins Children's Books, Collins",N/A
The Lord of the Rings and Philosophy,"Eric Bronson, Gregory Bassham",2011,Piper,ger
The Hobbit/The Lord of the Rings,Mr Brendan Francis O'Halloran,2017,"Createspace Independent Publishing Platform, CreateSpace Independent Publishing Platform",N/A
The Lord of the Rings [1/9],J.R.R. Tolkien,1992,Hyōronsha,jpn
The Film Book of J.R.R. Tolkien's The Lord Of The Rings,Saul Zaentz,1978,Ballantine Books,eng
"The Art of the ""Return of the King"" (""Lord of the Rings"")",Gary Russell,2004,"HarperCollins Publishers Ltd, HarperCollins, HARPERCOLLINS PUB., Harpercollins Pub Ltd, HARPERCOLLINS","eng, und"
The Lord of the Rings [2/9],J.R.R. Tolkien,2002,Hyōronsha,jpn
The Lord of the Rings [3/9],J.R.R. Tolkien,1992,Hyōronsha,jpn
The Lord of the Rings,Mario De Govia,2003,Prima Games,eng
"RETURN OF THE KING, The - The Lord of the Rings Strategy Battle Game","Alessio & Ward, Matt Cavatore",2003,Games Workshop Publishing,N/A
There and Back Again...: A Journal (The Lord of the Rings : the Fellowship of the Ring),Cedco Publishing,2001,Cedco Publishing Company,eng
The Lord of the Rings Official Game Secrets (Prima's Secrets of the Games),Steven A. Schwartz,1994,Prima Games,eng
The Lord of the Rings Online,Mike Searle,2007,Prima Games,eng
Fell Beasts and Wondrous Magic Sourcebook (The Lord of the Rings Roleplaying Game),Decipher RPG,2003,Decipher Inc.,eng
The Lord of the Rings [1/6],J.R.R. Tolkien,2002,Hwanggŭm Kaji,kor
The Lord of the Rings [2/2],J.R.R. Tolkien,1993,Olimp,rus
The Lord of the Rings - The Return of the King (Prima's Offical Strategy Guide),Prima Development,2003,Prima Games,eng
Shadow and Flame (Lord of the Rings Strategy Battle Game),"Matthew Ward, Alessio Cavatore",2003,Games Workshop,N/A
"The Two Towers Movie Soundtrack Piano, Vocal, and Chords (The Lord of the Rings)",Howard Shore,2003,Alfred Publishing Company,eng
The Return of the King Roleplaying Adventure Game (The Lord of the Rings Roleplaying Game),Decipher RPG,2004,Decipher Inc.,eng
"The Return of the King Movie Soundtrack Piano, Vocal, and Chords (The Lord of the Rings)",Howard Shore,2004,Warner Bros. Publications,eng
"So You Think You Know the ""Lord of the Rings""? (So You Think You Know)",Clive Gifford,2002,Hodder Children's Books,N/A
Lord of the Rings Tarot Deck and Book Set,"Terry Donaldson, Peter Pracownik, Mike Fitzgerald",N/A,N/A,N/A
The Hobbit & The Lord of the Rings 4 Books Boxed Set By J. R. R. Tolkien,J.R.R. Tolkien,2021,HarperCollinsChildren’sBooks,N/A
"The Sources of Lord of the Rings and The Children of Hurin by J.R.R.Tolkien, Series I",Eric Rücker Eddison,2007,www.bnpublishing.com,eng
Lord of the Rings Online: Shadows of Angmar - World Companion,Mike Searle,2007,Prima Games,eng
Tongariro National Park Trekking/Hiking/Walking Topographic Map Atlas Tolkien's The Lord of The Rings Filming Location New Zealand North Island ...,Sergio Mazitto,2018,CreateSpace Independent Publishing Platform,N/A
